,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
453,Niclas Füllkrug,,30,1.89,Germany,Hannover,13.0,15.0,Attack - Centre-Forward,11,right,Werder Bremen,2025-06-30,2019-07-01,ROOF,
454,Marvin Ducksch,,29,1.88,Germany,Dortmund,6.5,6.5,Attack - Centre-Forward,7,right,Werder Bremen,2024-06-30,2021-08-25,EMG Mundial,
455,Eren Dinkci,Eren Sami Dinkçi,21,1.88,Germany  Turkey,Bremen,0.7,0.7,Attack - Centre-Forward,21,right,Werder Bremen,2025-06-30,2021-01-01,EMG Mundial,
456,Alexander Schwolow,,30,1.9,Germany,Wiesbaden,0.9,9.0,Goalkeeper,13,right,FC Schalke 04,2023-06-30,2022-07-01,feel soccer GmbH,
457,Ralf Fährmann,Ralf Sebastian Fährmann,34,1.97,Germany,Karl-Marx-Stadt,0.4,13.0,Goalkeeper,1,right,FC Schalke 04,2025-06-30,2011-07-01,Siebert & Backs,adidas
458,Justin Heekeren,,22,1.96,Germany,Veen,0.25,0.25,Goalkeeper,28,both,FC Schalke 04,2025-06-30,2022-07-01,ROYAL,
459,Michael Langer,,38,1.95,Austria,Bregenz,0.05,0.75,Goalkeeper,34,right,FC Schalke 04,2023-06-30,2017-08-04,PESM,
460,Moritz Jenz,,24,1.9,Germany,Berlin,5.5,5.5,Defender - Centre-Back,25,right,FC Schalke 04,2023-06-30,2023-01-26,Sports360 GmbH,
461,Sepp van den Berg,,21,1.92,Netherlands,Zwolle,5.0,5.0,Defender - Centre-Back,5,right,FC Schalke 04,2023-06-30,2022-08-30,Key United,
462,Leo Greiml,,21,1.87,Austria,Horn,1.5,2.5,Defender - Centre-Back,3,right,FC Schalke 04,2025-06-30,2022-07-01,YOU FIRST,
463,Maya Yoshida,吉田 麻也,34,1.89,Japan,"Nagasaki, Nagasaki",1.5,7.0,Defender - Centre-Back,4,right,FC Schalke 04,2023-06-30,2022-07-05,CAA Base Ltd,Mizuno
464,Marcin Kaminski,Marcin Kamiński,31,1.92,Poland,Konin,1.0,3.5,Defender - Centre-Back,35,left,FC Schalke 04,2023-06-30,2021-07-01,Wojciech Zlobicki,
465,Henning Matriciani,,23,1.87,Germany,Lippstadt,1.0,1.0,Defender - Centre-Back,41,right,FC Schalke 04,2024-06-30,2021-09-28,TPWE GmbH,adidas
466,Timothée Kolodziejczak,Timothée Christian Kolodziejczak,31,1.83,France  Poland,Avion,0.7,7.0,Defender - Centre-Back,15,left,FC Schalke 04,2023-06-30,2022-10-21,,
467,Ibrahima Cissé,,22,1.96,Mali  France,Dreux,0.2,0.2,Defender - Centre-Back,22,right,FC Schalke 04,2026-06-30,2022-07-01,,
468,Thomas Ouwejan,,26,1.83,Netherlands,Alkmaar,2.5,3.0,Defender - Left-Back,2,left,FC Schalke 04,2024-06-30,2022-07-01,CAA Stellar,
469,Jere Uronen,Jere Juhani Uronen,28,1.77,Finland,Turku,1.0,3.5,Defender - Left-Back,18,left,FC Schalke 04,2023-06-30,2023-01-07,NGA Sport,
470,Cédric Brunner,,29,1.8,Switzerland,Zollikon,2.5,3.2,Defender - Right-Back,27,right,FC Schalke 04,2024-06-30,2022-07-07,ROOF,Nike
471,Mehmet Aydin,Mehmet Can Aydin,21,1.8,Turkey  Germany,Würselen,2.0,2.0,Defender - Right-Back,23,right,FC Schalke 04,2025-06-30,2021-07-01,KIN Partners,
472,Alex Kral,Alex Král,24,1.86,Czech Republic  Slovakia,Košice,5.5,10.0,midfield - Defensive Midfield,30,right,FC Schalke 04,2023-06-30,2022-07-14,K2K Sports ...,Nike
473,Éder Balanta,Éder Fabián Álvarez Balanta,30,1.8,Colombia,Bogotá,3.0,6.5,midfield - Defensive Midfield,33,left,FC Schalke 04,2023-06-30,2023-01-31,no agent,
474,Niklas Tauer,,22,1.83,Germany,Mainz,1.5,1.5,midfield - Defensive Midfield,21,right,FC Schalke 04,2024-06-30,2023-01-01,PRO Profil GmbH,adidas
475,Tom Krauß,,21,1.82,Germany,Leipzig,6.0,6.0,midfield - Central Midfield,6,right,FC Schalke 04,2023-06-30,2022-07-01,ROOF,adidas
476,Danny Latza,,33,1.79,Germany,Gelsenkirchen,0.6,5.0,midfield - Central Midfield,8,right,FC Schalke 04,2024-06-30,2021-07-01,feel soccer GmbH,
477,Soichiro Kozuki,上月 壮一郎,22,1.8,Japan,"Uji, Kyoto",0.6,0.6,midfield - Right Midfield,38,right,FC Schalke 04,2025-06-30,2023-01-01,PRO Profil GmbH,
478,Tobias Mohr,,27,1.83,Germany,Aachen,1.8,1.8,midfield - Left Midfield,29,left,FC Schalke 04,2025-06-30,2022-07-01,KL Sportsbase,
479,Rodrigo Zalazar,Rodrigo Zalazar Martínez,23,1.78,Uruguay  Spain,Albacete,3.5,3.5,midfield - Attacking Midfield,10,right,FC Schalke 04,2026-06-30,2022-07-01,CAA Stellar,
480,Dominick Drexler,,32,1.83,Germany,Bonn,0.9,4.0,midfield - Attacking Midfield,24,right,FC Schalke 04,2024-06-30,2021-07-21,11WINS,
481,Marius Bülter,,30,1.88,Germany,Ibbenbüren,2.5,3.0,Attack - Left Winger,11,right,FC Schalke 04,2024-06-30,2021-07-01,TPWE GmbH,adidas
482,Tim Skarke,,26,1.81,Germany,Heidenheim an der Brenz,1.0,1.0,Attack - Right Winger,20,right,FC Schalke 04,2023-06-30,2023-01-23,Unique Sports Group,
483,Michael Frey,,28,1.88,Switzerland,Münsingen,3.0,5.0,Attack - Centre-Forward,26,right,FC Schalke 04,2023-06-30,2023-01-20,Soccer Mondial AG,Puma
484,Sebastian Polter,,32,1.92,Germany,Wilhelmshaven,1.7,2.25,Attack - Centre-Forward,40,right,FC Schalke 04,2025-06-30,2022-07-01,PRO Profil GmbH,
485,Kenan Karaman,,29,1.89,Turkey  Germany,Stuttgart,1.4,3.5,Attack - Centre-Forward,19,right,FC Schalke 04,2025-06-30,2022-09-01,EMG Mundial,adidas
486,Simon Terodde,,35,1.92,Germany,Bocholt,1.0,4.0,Attack - Centre-Forward,9,right,FC Schalke 04,2023-06-30,2021-07-01,Sports360 GmbH,Puma
487,Manuel Riemann,Manuel Riemann-Lorenzen,34,1.86,Germany,Mühldorf am Inn,1.2,1.2,Goalkeeper,1,right,VfL Bochum,2025-06-30,2015-07-01,ROOF,
488,Marko Johansson,,24,1.94,Sweden  Serbia,Malmö,0.5,0.9,Goalkeeper,26,right,VfL Bochum,2023-06-30,2022-09-01,BMS Sportconsulting ...,
489,Michael Esser,,35,1.98,Germany,Castrop-Rauxel,0.4,2.0,Goalkeeper,21,right,VfL Bochum,2024-06-30,2021-07-01,Robert Schneider,
490,Paul Grave,,22,1.93,Germany,Borken,0.1,0.1,Goalkeeper,34,right,VfL Bochum,,2019-03-02,FG Sports GmbH,
491,Erhan Masovic,Ерхан Машовић,24,1.89,Serbia,Novi Pazar,5.0,5.0,Defender - Centre-Back,4,both,VfL Bochum,2025-06-30,2020-10-05,Relatives,
492,Ivan Ordets,Ордець Іван Миколайович,30,1.95,Ukraine,"Blyzhnye, Donetsk Oblast",3.5,5.0,Defender - Centre-Back,20,right,VfL Bochum,2023-06-30,2022-07-10,Murza Eduard,
493,Keven Schlotterbeck,,26,1.89,Germany,Weinstadt,3.0,7.5,Defender - Centre-Back,31,left,VfL Bochum,2023-06-30,2023-01-02,Robert Schneider,
494,Dominique Heintz,,29,1.88,Germany,Neustadt an der Weinstraße,1.5,10.0,Defender - Centre-Back,30,left,VfL Bochum,2023-06-30,2022-08-11,Sports360 GmbH,
495,Vasilios Lampropoulos,Βασίλειος Λαμπρόπουλος,33,1.85,Greece,Pyrgos,0.5,1.0,Defender - Centre-Back,24,right,VfL Bochum,2023-06-30,2020-08-14,WoS,
496,Mohammed Tolba,محمد طلبه,18,1.85,Germany  Egypt,Essen,0.2,0.2,Defender - Centre-Back,25,right,VfL Bochum,2025-06-30,2022-07-01,Wasserman,
497,Danilo Soares,Danilo Teodoro Soares,31,1.7,Brazil,Belo Horizonte,2.2,2.2,Defender - Left-Back,3,left,VfL Bochum,2024-06-30,2017-07-01,TDL Sports ...,
498,Konstantinos Stafylidis,Κωνσταντίνος Σταφυλίδης,29,1.78,Greece,Thessaloniki,1.8,4.5,Defender - Left-Back,16,left,VfL Bochum,2023-06-30,2022-07-06,ROGON,
499,Jordi Osei-Tutu,Jordi Martin Emmanuel Osei-Tutu,24,1.76,England  Ghana,Slough,1.5,1.5,Defender - Right-Back,18,right,VfL Bochum,2025-06-30,2022-07-01,Unique Sports Group,
500,Saidy Janko,,27,1.81,The Gambia  Switzerland,Zürich,1.0,3.0,Defender - Right-Back,23,right,VfL Bochum,2023-06-30,2022-07-01,Signature - ISCM AG,
501,Cristian Gamboa,Cristian Esteban Gamboa Luna,33,1.75,Costa Rica,Liberia,0.7,2.0,Defender - Right-Back,2,right,VfL Bochum,2024-06-30,2019-08-27,Wasserman,
502,Jacek Goralski,Jacek Góralski,30,1.72,Poland,Bydgoszcz,1.0,3.0,midfield - Defensive Midfield,5,right,VfL Bochum,2024-06-30,2022-07-01,UNIDOS,
503,Anthony Losilla,,37,1.85,France,Firminy,0.5,0.9,midfield - Defensive Midfield,8,right,VfL Bochum,2024-06-30,2014-07-01,Soccertalk GmbH,
504,Patrick Osterhage,,23,1.86,Germany,Göttingen,2.0,2.0,midfield - Central Midfield,6,left,VfL Bochum,2026-06-30,2021-07-01,H.S.P. ...,Nike
505,Pierre Kunde,Pierre Kunde Malong,27,1.8,Cameroon,Limbé,2.0,10.0,midfield - Central Midfield,28,right,VfL Bochum,2023-06-30,2023-01-06,IS SPORTS AGENCY ...,
506,Kevin Stöger,,29,1.75,Austria,Steyr,2.5,6.0,midfield - Attacking Midfield,7,left,VfL Bochum,2024-06-30,2022-07-01,Relatives,
507,Philipp Förster,,28,1.88,Germany,Bretten,2.5,3.5,midfield - Attacking Midfield,10,left,VfL Bochum,2024-06-30,2022-07-01,ROOF,
508,Gerrit Holtmann,,28,1.85,Philippines  Germany,Bremen,3.5,4.5,Attack - Left Winger,17,left,VfL Bochum,2025-06-30,2020-08-24,Relatives,
509,Christopher Antwi-Adjei,,29,1.74,Ghana  Germany,Hagen,1.8,2.0,Attack - Left Winger,22,right,VfL Bochum,2024-06-30,2021-07-01,Kay Sports ...,
510,Takuma Asano,浅野 拓磨,28,1.73,Japan,"Komono, Mie",4.0,4.0,Attack - Right Winger,11,right,VfL Bochum,2024-06-30,2021-07-01,JEB ENTERTAINMENT ...,adidas
511,Philipp Hofmann,,30,1.95,Germany,Arnsberg,2.5,2.5,Attack - Centre-Forward,33,left,VfL Bochum,2024-06-30,2022-07-01,ROOF,
512,Simon Zoller,Simon Martin Zoller,31,1.79,Germany,Friedrichshafen,1.1,3.0,Attack - Centre-Forward,9,right,VfL Bochum,2024-06-30,2019-01-01,GoalSky,Puma
513,Silvère Ganvoula,Silvère Ganvoula M'boussy,26,1.91,Congo,Brazzaville,0.75,2.5,Attack - Centre-Forward,35,right,VfL Bochum,2023-06-30,2019-07-05,BY Sport Consulting,Puma
514,Moritz Broschinski,,22,1.9,Germany,Finsterwalde,0.5,0.5,Attack - Centre-Forward,29,right,VfL Bochum,2026-06-30,2023-01-22,Teamgeist ...,
